beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Honey Dew","Fuller's Brewery","Golden Ale",5,18,,,,,,,,,"2014-04-15 15:21:26",https://untappd.com/c/79917665,https://untappd.com/beer/22286,https://untappd.com/brewery/3296,England,London,"Greater London",,,,79917665,22286,3296,,3.31,3.32,,0,0
"Big Daddy IPA","Speakeasy Ales & Lagers","IPA - American",6.5,60,,,,,,,,,"2014-04-15 15:22:05",https://untappd.com/c/79917720,https://untappd.com/beer/917,https://untappd.com/brewery/1177,"United States","San Francisco",CA,,,,79917720,917,1177,,3.59,3.59,,0,0
Indica,"Cervejaria Colorado","IPA - English",7,45,,,,,,,,,"2014-04-15 15:23:24",https://untappd.com/c/79917823,https://untappd.com/beer/7478,https://untappd.com/brewery/4804,Brazil,"Ribeirão Preto","São Paulo",,,,79917823,7478,4804,,3.68,3.68,,0,0
"3 Lobos Pele Vermelha","Cervejaria Backer","IPA - American",7,53,,,,,,,,,"2014-04-15 15:23:45",https://untappd.com/c/79917859,https://untappd.com/beer/78121,https://untappd.com/brewery/8979,Brazil,"Belo Horizonte","Minas Gerais",,,,79917859,78121,8979,,3.64,3.64,,0,0
"Waggle Dance","Eagle Brewery (formerly Charles Wells)","Honey Beer",5,0,,,,,,,,,"2014-04-15 15:25:23",https://untappd.com/c/79918025,https://untappd.com/beer/20317,https://untappd.com/brewery/1348,England,Bedford,Bedford,,,,79918025,20317,1348,,3.26,3.27,,0,0
Trooper,"Robinsons Brewery","Extra Special / Strong Bitter",4.7,35,,,,,,,,,"2014-04-19 13:04:30",https://untappd.com/c/80682880,https://untappd.com/beer/332969,https://untappd.com/brewery/2908,England,Stockport,"Greater Manchester",,,,80682880,332969,2908,,3.37,3.37,,0,0
Cauim,"Cervejaria Colorado","Pilsner - Other",4.5,16,,,,,,,,,"2014-04-19 13:04:57",https://untappd.com/c/80682934,https://untappd.com/beer/14181,https://untappd.com/brewery/4804,Brazil,"Ribeirão Preto","São Paulo",,,,80682934,14181,4804,,3.42,3.42,,0,0
"Red Ale","Way Beer","Red Ale - Irish",5.8,28,,,,,,,,,"2014-04-19 13:05:30",https://untappd.com/c/80683044,https://untappd.com/beer/110573,https://untappd.com/brewery/18116,Brazil,Pinhais,Paraná,,,,80683044,110573,18116,,3.58,3.58,,0,0
"Cream Porter","Way Beer","Porter - Other",5.4,21,,,,,,,,,"2014-04-19 13:06:02",https://untappd.com/c/80683084,https://untappd.com/beer/135401,https://untappd.com/brewery/18116,Brazil,Pinhais,Paraná,,,,80683084,135401,18116,,3.57,3.58,,0,0
"India Pale Ale",Diabólica,"IPA - English",6.66,67,,,,,,,,,"2014-04-19 13:06:18",https://untappd.com/c/80683115,https://untappd.com/beer/123313,https://untappd.com/brewery/19726,Brazil,"Treze Tílias","Santa Catarina",,,,80683115,123313,19726,,3.64,3.64,,0,0
"Wild River","Fuller's Brewery","Pale Ale - American",4.2,55,,,,,,,,,"2014-04-19 13:06:27",https://untappd.com/c/80683138,https://untappd.com/beer/168569,https://untappd.com/brewery/3296,England,London,"Greater London",,,,80683138,168569,3296,,3.42,3.43,,0,0
Cristal,"Baden Baden","Pilsner - Other",5,10,,,,,,,,,"2014-04-19 13:06:37",https://untappd.com/c/80683171,https://untappd.com/beer/19754,https://untappd.com/brewery/5437,Brazil,"Campos do Jordão","São Paulo",,,,80683171,19754,5437,,3.34,3.34,,0,0
"Belgian Ale","Dado Bier","Belgian Strong Golden Ale",8.5,22,,,,,,,,,"2014-04-19 13:07:04",https://untappd.com/c/80683246,https://untappd.com/beer/20246,https://untappd.com/brewery/5717,Brazil,"Porto Alegre","Rio Grande do Sul",,,,80683246,20246,5717,,3.45,3.47,,0,0
"Velhas Virgens Mr. Brownie","Cervejaria Invicta","Brown Ale - English",5,0,,,,,,,,,"2014-04-19 13:07:29",https://untappd.com/c/80683298,https://untappd.com/beer/437282,https://untappd.com/brewery/27854,Brazil,"Ribeirão Preto","São Paulo",,,,80683298,437282,27854,,3.51,3.54,,0,0
"London IPA","Meantime Brewing Company","IPA - English",7.4,65,,,,,,,,,"2014-04-19 13:09:12",https://untappd.com/c/80683564,https://untappd.com/beer/424,https://untappd.com/brewery/844,England,"City of London",London,,,,80683564,424,844,,3.38,3.38,,0,0
"India Pale Ale","Fuller's Brewery","IPA - English",5.3,50,,,,,,,,,"2014-04-19 13:09:49",https://untappd.com/c/80683640,https://untappd.com/beer/25980,https://untappd.com/brewery/3296,England,London,"Greater London",,,,80683640,25980,3296,,3.38,3.38,,1,0
"1000 IBU","Cervejaria Invicta","IPA - Imperial / Double",8,1000,,,,,,,,,"2014-04-19 13:10:37",https://untappd.com/c/80683762,https://untappd.com/beer/446677,https://untappd.com/brewery/27854,Brazil,"Ribeirão Preto","São Paulo",,,,80683762,446677,27854,,3.95,3.95,,1,0
"Smoked Porter","Dama Bier","Smoked Beer",6.5,45,,,,,,,,,"2014-04-19 13:48:13",https://untappd.com/c/80690560,https://untappd.com/beer/510852,https://untappd.com/brewery/7619,Brazil,Piracicaba,"São Paulo",,,,80690560,510852,7619,,3.79,3.78,,1,0
"Vedett Extra White","Duvel Moortgat","Wheat Beer - Witbier",4.7,4,,,,,,,,,"2014-04-29 19:20:13",https://untappd.com/c/82803172,https://untappd.com/beer/11097,https://untappd.com/brewery/167,Belgium,Puurs,Vlaanderen,,,,82803172,11097,167,,3.52,3.52,,0,0
"Belgian Ale","Dado Bier","Belgian Strong Golden Ale",8.5,22,,,,,,,,,"2014-05-16 12:48:47",https://untappd.com/c/86150833,https://untappd.com/beer/20246,https://untappd.com/brewery/5717,Brazil,"Porto Alegre","Rio Grande do Sul",,,,86150833,20246,5717,,3.45,3.47,,1,0
Baca,"Cerveja Coruja","Lager - American Amber / Red",5.5,40,,,,,,,,,"2014-05-20 00:11:35",https://untappd.com/c/87133992,https://untappd.com/beer/164284,https://untappd.com/brewery/51729,Brazil,Forquilhinha,"Santa Catarina",,,,87133992,164284,51729,,3.45,3.47,,1,0
"Original (TAP07)","Schneider Weisse G. Schneider & Sohn",Hefeweizen,5.4,14,,,,,,,,4,"2014-05-21 21:42:42",https://untappd.com/c/87384375,https://untappd.com/beer/11982,https://untappd.com/brewery/1023,Germany,Kelheim,Bayern,,,,87384375,11982,1023,,3.68,3.68,,1,0
"FunHouse Belgian Blond","Seasons Craft Brewery","Belgian Blonde",6,20,,,,,,,,,"2014-05-21 21:43:01",https://untappd.com/c/87384487,https://untappd.com/beer/88011,https://untappd.com/brewery/17236,Brazil,"Porto Alegre","Rio Grande do Sul",,,,87384487,88011,17236,,3.81,3.8,,1,0
"India Pale Ale","Fuller's Brewery","IPA - English",5.3,50,,"Chico Beer",Criciúma,SC,Brasil,-28.6906,-49.369,5,"2014-05-25 13:22:40",https://untappd.com/c/88346090,https://untappd.com/beer/25980,https://untappd.com/brewery/3296,England,London,"Greater London",,,,88346090,25980,3296,,3.38,3.38,,0,0
"Frosty Bison","Cervejaria Eisenbahn","IPA - American",6.9,52,,,,,,,,4,"2014-05-28 19:29:47",https://untappd.com/c/89019904,https://untappd.com/beer/663190,https://untappd.com/brewery/2207,Brazil,Blumenau,"Santa Catarina",,,,89019904,663190,2207,,3.79,3.78,,0,0
Coice,"Cerveja Coruja","Bock - Doppelbock",11.5,69,,,,,,,,5,"2014-06-11 18:31:11",https://untappd.com/c/91993420,https://untappd.com/beer/262397,https://untappd.com/brewery/51729,Brazil,Forquilhinha,"Santa Catarina",,,,91993420,262397,51729,,3.6,3.6,,0,0
Serramalte,AmBev,"Lager - Pale",5.5,15,,"Casa Azul Hostel","Porto Alegre",RS,Brasil,-30.0402,-51.2189,,"2014-06-15 17:32:20",https://untappd.com/c/93073708,https://untappd.com/beer/86851,https://untappd.com/brewery/4538,Brazil,"São Paulo","São Paulo",,,,93073708,86851,4538,,3.17,3.18,,0,0
"Antarctica Original",AmBev,"Lager - American",5,0,,"Casa Azul Hostel","Porto Alegre",RS,Brasil,-30.0402,-51.2189,,"2014-06-15 17:33:04",https://untappd.com/c/93073948,https://untappd.com/beer/11994,https://untappd.com/brewery/4538,Brazil,"São Paulo","São Paulo",,,,93073948,11994,4538,,3,3.01,,0,0
Weizen,"Cerveja Coruja",Hefeweizen,5.5,18,,,,,,,,,"2014-06-17 15:29:50",https://untappd.com/c/93390673,https://untappd.com/beer/51361,https://untappd.com/brewery/51729,Brazil,Forquilhinha,"Santa Catarina",,,,93390673,51361,51729,,3.66,3.66,,0,0
"Stella Artois","Stella Artois","Pilsner - Other",5,24,Meh!,,,,,,,,"2014-06-18 18:30:34",https://untappd.com/c/93566929,https://untappd.com/beer/4010,https://untappd.com/brewery/265,Belgium,Leuven,Vlaanderen,,,,93566929,4010,265,,3.26,3.26,,0,0
Labareda,"Cerveja Coruja","Chilli / Chile Beer",6.7,32,"Celebrando o fim da minha última aula de sexta.",,,,,,,4,"2014-06-20 20:56:45",https://untappd.com/c/94024465,https://untappd.com/beer/213767,https://untappd.com/brewery/51729,Brazil,Forquilhinha,"Santa Catarina",,,,94024465,213767,51729,,3.5,3.51,,0,0
"Amber Lager","Cerveza Patagonia","Lager - American Amber / Red",4.5,14,,,,,,,,,"2014-06-21 14:16:19",https://untappd.com/c/94212246,https://untappd.com/beer/53479,https://untappd.com/brewery/476315,Argentina,"San Carlos de Bariloche","Río Negro",,,,94212246,53479,476315,,3.44,3.44,,0,0
Weisse,"Cerveza Patagonia","Wheat Beer - Witbier",4.4,10,,,,,,,,,"2014-06-21 14:16:42",https://untappd.com/c/94212195,https://untappd.com/beer/96799,https://untappd.com/brewery/476315,Argentina,"San Carlos de Bariloche","Río Negro",,,,94212195,96799,476315,,3.49,3.49,,0,0
"Bohemian Pilsener","Cerveza Patagonia","Pilsner - Other",5.2,18,,,,,,,,,"2014-06-21 14:27:36",https://untappd.com/c/94215314,https://untappd.com/beer/53546,https://untappd.com/brewery/476315,Argentina,"San Carlos de Bariloche","Río Negro",,,,94215314,53546,476315,,3.39,3.39,,0,0
"Red Ale","Cervejaria Tupiniquim","Red Ale - Irish",4.5,24,,BierMarkt,"Porto Alegre",RS,Brasil,-30.0306,-51.2062,,"2014-07-01 21:48:27",https://untappd.com/c/96561577,https://untappd.com/beer/618031,https://untappd.com/brewery/76097,Brazil,"Porto Alegre","Rio Grande do Sul",,,,96561577,618031,76097,,3.44,3.45,,0,0
"Original (TAP07)","Schneider Weisse G. Schneider & Sohn",Hefeweizen,5.4,14,"Repetindo pra ver se é boa mesmo...",BierMarkt,"Porto Alegre",RS,Brasil,-30.0306,-51.2062,4.5,"2014-07-01 22:12:51",https://untappd.com/c/96568919,https://untappd.com/beer/11982,https://untappd.com/brewery/1023,Germany,Kelheim,Bayern,,,,96568919,11982,1023,,3.68,3.68,,0,0
Sol,"Cervecería Cuauhtémoc Moctezuma S.A. de C.V.","Lager - American",4.5,0,,,,,,,,,"2014-07-04 02:01:40",https://untappd.com/c/97042705,https://untappd.com/beer/7457,https://untappd.com/brewery/360,Mexico,Monterrey,"Nuevo León",,,,97042705,7457,360,,2.9,2.9,,0,0
Duvel,"Duvel Moortgat","Belgian Strong Golden Ale",8.5,33,"Comprei pra celebrar a possível vitória da Bélgica, mas pode ser pra consolar a derrota também...",,,,,,,,"2014-07-05 17:35:17",https://untappd.com/c/97567704,https://untappd.com/beer/6868,https://untappd.com/brewery/167,Belgium,Puurs,Vlaanderen,,,,97567704,6868,167,,3.74,3.74,,0,0
"Bald Headed Vulture IPA","Kat Daddy Breweries","IPA - American",0,0,,BierMarkt,"Porto Alegre",RS,Brasil,-30.0306,-51.2062,,"2014-07-05 18:55:50",https://untappd.com/c/97605945,https://untappd.com/beer/100735,https://untappd.com/brewery/13177,"United States","Moreno Valley",CA,,,,97605945,100735,13177,,3.19,3.6,,0,0
"Red Ale","Cervejaria Tupiniquim","Red Ale - Irish",4.5,24,"Ainda não acabou o barril",BierMarkt,"Porto Alegre",RS,Brasil,-30.0306,-51.2062,,"2014-07-14 20:16:15",https://untappd.com/c/99652412,https://untappd.com/beer/618031,https://untappd.com/brewery/76097,Brazil,"Porto Alegre","Rio Grande do Sul",,,,99652412,618031,76097,,3.44,3.45,,0,0
"Green Cow IPA","Seasons Craft Brewery","IPA - American",6.2,62,,BierMarkt,"Porto Alegre",RS,Brasil,-30.0306,-51.2062,,"2014-07-14 20:32:26",https://untappd.com/c/99656261,https://untappd.com/beer/93494,https://untappd.com/brewery/17236,Brazil,"Porto Alegre","Rio Grande do Sul",,,,99656261,93494,17236,,4.05,4.04,,0,0
Weizen,"Cerveja Coruja",Hefeweizen,5.5,18,,,,,,,,,"2014-07-17 21:18:01",https://untappd.com/c/100184761,https://untappd.com/beer/51361,https://untappd.com/brewery/51729,Brazil,Forquilhinha,"Santa Catarina",,,,100184761,51361,51729,,3.66,3.66,,0,0
Witbier,Whitehead,"Wheat Beer - Witbier",5,0,,"A Virgem Bar","Porto Alegre",RS,Brasil,-30.0431,-51.2167,,"2014-07-17 23:02:03",https://untappd.com/c/100227640,https://untappd.com/beer/97645,https://untappd.com/brewery/18606,Brazil,"Porto Alegre","Rio Grande do Sul",,,,100227640,97645,18606,,3.63,3.65,,0,0
"Irish Ale",Whitehead,"Red Ale - Irish",6.5,35,,,,,,,,,"2014-07-17 23:02:15",https://untappd.com/c/100227725,https://untappd.com/beer/1556011,https://untappd.com/brewery/18606,Brazil,"Porto Alegre","Rio Grande do Sul",,,,100227725,1556011,18606,,3.53,3.61,,0,0
Appia,"Cervejaria Colorado",Hefeweizen,5.5,0,,"A Virgem Bar","Porto Alegre",RS,Brasil,-30.0431,-51.2167,,"2014-07-17 23:02:36",https://untappd.com/c/100227480,https://untappd.com/beer/17764,https://untappd.com/brewery/4804,Brazil,"Ribeirão Preto","São Paulo",,,,100227480,17764,4804,,3.63,3.63,,0,0
"FunHouse Belgian Blond","Seasons Craft Brewery","Belgian Blonde",6,20,,"Olivos 657","Porto Alegre",RS,Brasil,-30.0402,-51.2258,4,"2014-07-24 19:39:58",https://untappd.com/c/101857336,https://untappd.com/beer/88011,https://untappd.com/brewery/17236,Brazil,"Porto Alegre","Rio Grande do Sul",,,,101857336,88011,17236,,3.81,3.8,,0,0
"Premium Lager / Otus Lager","Cerveja Coruja","Lager - Pale",4.5,15,"Aniversário da querida Luiza!","Chilli Chicas",Criciúma,SC,Brasil,-28.6763,-49.375,,"2014-07-26 22:17:03",https://untappd.com/c/102638264,https://untappd.com/beer/64280,https://untappd.com/brewery/51729,Brazil,Forquilhinha,"Santa Catarina",,,,102638264,64280,51729,,3.56,3.57,,0,0
"American Pale Ale","Perro Libre","Pale Ale - American",5.4,38,,BierMarkt,"Porto Alegre",RS,Brasil,-30.0306,-51.2062,4.5,"2014-07-28 18:38:40",https://untappd.com/c/103070404,https://untappd.com/beer/702546,https://untappd.com/brewery/134493,Brazil,"São Paulo","São Paulo",,,,103070404,702546,134493,,3.87,3.85,,0,0
"India Pale Ale","Perro Libre","IPA - American",6,55,,BierMarkt,"Porto Alegre",RS,Brasil,-30.0306,-51.2062,,"2014-07-29 21:44:39",https://untappd.com/c/103292664,https://untappd.com/beer/702557,https://untappd.com/brewery/134493,Brazil,"São Paulo","São Paulo",,,,103292664,702557,134493,,3.9,3.89,,0,0
Weizenbier,"Cervejaria Eisenbahn",Hefeweizen,4.8,10,,BierMarkt,"Porto Alegre",RS,Brasil,-30.0306,-51.2062,,"2014-07-29 21:46:57",https://untappd.com/c/103293323,https://untappd.com/beer/124545,https://untappd.com/brewery/2207,Brazil,Blumenau,"Santa Catarina",,,,103293323,124545,2207,,3.51,3.51,,0,0
"Göttlich, Divina! Weiss","Opa Bier Cervejaria",Hefeweizen,5.8,0,,"Cuca Haus","Porto Alegre",RS,Brasil,-30.0525,-51.2014,4.5,"2014-07-29 21:51:23",https://untappd.com/c/103294834,https://untappd.com/beer/39413,https://untappd.com/brewery/87525,Brazil,Joinville,"Santa Catarina",,,,103294834,39413,87525,,3.48,3.5,,0,0
"Escondido Weiss","Boteco Colarinho",Hefeweizen,5,0,,"Pub Escondido, CA","Rio de Janeiro",RJ,Brasil,-22.9784,-43.1898,,"2014-07-31 00:28:35",https://untappd.com/c/103532242,https://untappd.com/beer/684776,https://untappd.com/brewery/31829,Brazil,"Rio de Janeiro","Rio de Janeiro",,,,103532242,684776,31829,,3.38,3.49,,0,0
Vertigem,"Cervejaria Mistura Clássica","IPA - American",5.5,50,,"Pub Escondido, CA","Rio de Janeiro",RJ,Brasil,-22.9784,-43.1898,,"2014-07-31 01:02:31",https://untappd.com/c/103538548,https://untappd.com/beer/671954,https://untappd.com/brewery/11443,Brazil,"Angra dos Reis","Rio de Janeiro",,,,103538548,671954,11443,,3.82,3.81,,0,0
"Chopp Brahma",AmBev,"Lager - Pale",5,0,"Água, é você?",Odorico,"Rio de Janeiro",RJ,Brasil,-22.9504,-43.1824,0.5,"2014-07-31 22:30:36",https://untappd.com/c/103709300,https://untappd.com/beer/100875,https://untappd.com/brewery/4538,Brazil,"São Paulo","São Paulo",,,,103709300,100875,4538,,2.87,2.89,,0,0
"Bierland English Pale Ale",Bierland,"Pale Ale - English",5.4,35,,"Boteco Colarinho","Rio de Janeiro",RJ,Brasil,-22.9509,-43.1846,,"2014-07-31 23:59:59",https://untappd.com/c/103741511,https://untappd.com/beer/81833,https://untappd.com/brewery/12693,Brazil,Blumenau,"Santa Catarina",,,,103741511,81833,12693,,3.51,3.52,,0,0
Demoiselle,"Cervejaria Colorado","Porter - Coffee",6,22,,"Boteco Colarinho","Rio de Janeiro",RJ,Brasil,-22.9509,-43.1846,,"2014-08-01 00:22:34",https://untappd.com/c/103747918,https://untappd.com/beer/14179,https://untappd.com/brewery/4804,Brazil,"Ribeirão Preto","São Paulo",,,,103747918,14179,4804,,3.58,3.58,,0,0
Gold,"Cerveja Therezópolis","Lager - Pale",5,10,,,,,,,,,"2014-08-01 16:23:53",https://untappd.com/c/103837306,https://untappd.com/beer/40742,https://untappd.com/brewery/257521,Brazil,"Rio de Janeiro","Rio de Janeiro",,,,103837306,40742,257521,,3.32,3.33,,0,0
"Festweisse (TAP04)","Schneider Weisse G. Schneider & Sohn",Hefeweizen,6.2,28,,,,,,,,,"2014-08-02 15:15:17",https://untappd.com/c/104184206,https://untappd.com/beer/11827,https://untappd.com/brewery/1023,Germany,Kelheim,Bayern,,,,104184206,11827,1023,,3.67,3.67,,0,0
Weizen,"Cervejaria Barbante",Hefeweizen,4.8,0,,"São Bartolomeu","Juiz de Fora",MG,Brasil,-21.7696,-43.3501,,"2014-08-02 23:56:35",https://untappd.com/c/104467066,https://untappd.com/beer/331016,https://untappd.com/brewery/58450,Brazil,"Juiz de Fora","Minas Gerais",,,,104467066,331016,58450,,3.19,3.44,,0,0
Duvel,"Duvel Moortgat","Belgian Strong Golden Ale",8.5,33,"Acabando com as boas antes de ir embora..",,,,,,,,"2014-08-18 16:59:10",https://untappd.com/c/108368052,https://untappd.com/beer/6868,https://untappd.com/brewery/167,Belgium,Puurs,Vlaanderen,,,,108368052,6868,167,,3.74,3.74,,0,0
"Augerta 1903 (奥古特 1903)","Tsingtao (青岛啤酒) Brewery","Lager - Pale",4.7,0,,,,,,,,,"2014-08-20 21:04:18",https://untappd.com/c/108748176,https://untappd.com/beer/8878,https://untappd.com/brewery/1594,"China / People's Republic of China",Qingdao,山东省,,,,108748176,8878,1594,,2.85,2.89,,0,0
"Premium Lager / Otus Lager","Cerveja Coruja","Lager - Pale",4.5,15,,,,,,,,,"2014-08-20 21:10:06",https://untappd.com/c/108750403,https://untappd.com/beer/64280,https://untappd.com/brewery/51729,Brazil,Forquilhinha,"Santa Catarina",,,,108750403,64280,51729,,3.56,3.57,,0,0
"Belgian Golden Ale","Saint Bier","Belgian Blonde",6,14,,,,,,,,,"2014-08-20 21:10:26",https://untappd.com/c/108750519,https://untappd.com/beer/842305,https://untappd.com/brewery/11724,Brazil,Forquilhinha,"Santa Catarina",,,,108750519,842305,11724,,3.54,3.54,,0,0
"Brooklyn East IPA","Brooklyn Brewery","IPA - English",6.9,47,,,,,,,,5,"2014-08-21 22:29:48",https://untappd.com/c/108980886,https://untappd.com/beer/1826,https://untappd.com/brewery/259,"United States",Brooklyn,NY,,,,108980886,1826,259,,3.51,3.51,,0,0
"Warsteiner Premium Verum / German Pilsener",Warsteiner,"Pilsner - German",4.8,28,,,,,,,,,"2014-08-21 22:43:24",https://untappd.com/c/108986252,https://untappd.com/beer/10703,https://untappd.com/brewery/1337,Germany,Warstein,Nordrhein-Westfalen,,,,108986252,10703,1337,,3.21,3.21,,0,0
"Banana Bread Beer","Eagle Brewery (formerly Charles Wells)","Fruit Beer",5.2,18,,,,,,,,,"2014-08-21 22:53:24",https://untappd.com/c/108990549,https://untappd.com/beer/5839,https://untappd.com/brewery/1348,England,Bedford,Bedford,,,,108990549,5839,1348,,3.55,3.55,,0,0
"St. Gallen Weissbier","Cerveja St. Gallen",Hefeweizen,5.2,0,,,,,,,,,"2014-08-22 20:05:09",https://untappd.com/c/109176909,https://untappd.com/beer/51071,https://untappd.com/brewery/11691,Brazil,Teresópolis,"Rio de Janeiro",,,,109176909,51071,11691,,3.61,3.61,,0,0
"Almaza Pilsener","Brasserie Almaza","Pilsner - Other",4.2,20,,,,,,,,,"2014-08-22 23:35:14",https://untappd.com/c/109300301,https://untappd.com/beer/8484,https://untappd.com/brewery/2300,Lebanon,Jdeideh,"قضاء المتن",,,,109300301,8484,2300,,2.95,2.96,,0,0
"Affligem Dubbel","Affligem Brouwerij","Belgian Dubbel",6.8,21,,,,,,,,,"2014-08-22 23:35:40",https://untappd.com/c/109300529,https://untappd.com/beer/3566,https://untappd.com/brewery/16791,Belgium,Opwijk,Vlaanderen,,,,109300529,3566,16791,,3.47,3.47,,0,0
"6 O'Clock","Cervejaria Invicta","IPA - American",5.8,60,,,,,,,,,"2014-08-22 23:35:43",https://untappd.com/c/109300772,https://untappd.com/beer/648256,https://untappd.com/brewery/27854,Brazil,"Ribeirão Preto","São Paulo",,,,109300772,648256,27854,,3.81,3.81,,0,0
"Samuel Adams Summer Ale","Boston Beer Company","Wheat Beer - American Pale Wheat",5.3,8,"Começando com as locais!","Tavern in the Square",Boston,MA,"United States",42.3532,-71.1326,,"2014-08-25 20:27:50",https://untappd.com/c/110122493,https://untappd.com/beer/3916,https://untappd.com/brewery/157,"United States",Boston,MA,,,,110122493,3916,157,,3.4,3.4,,0,0
Kölsch,"Rock Bottom Restaurant & Brewery",Kölsch,5,20,,"Rock Bottom - Boston",Boston,MA,"United States",42.3513,-71.0653,2.5,"2014-08-27 20:06:07",https://untappd.com/c/110433692,https://untappd.com/beer/66872,https://untappd.com/brewery/1792,"United States",Denver,CO,,,,110433692,66872,1792,,3.24,3.25,,0,0
"Belgian White Ale","Rock Bottom Restaurant & Brewery","Wheat Beer - Witbier",5.3,11,,"Rock Bottom - Boston",Boston,MA,"United States",42.3513,-71.0653,4.5,"2014-08-27 20:08:31",https://untappd.com/c/110434417,https://untappd.com/beer/43650,https://untappd.com/brewery/1792,"United States",Denver,CO,,,,110434417,43650,1792,,3.31,3.32,,0,0
"India Pale Ale","Rock Bottom Restaurant & Brewery","IPA - American",6.5,70,,,,,,,,3.5,"2014-08-27 20:18:46",https://untappd.com/c/110438355,https://untappd.com/beer/47381,https://untappd.com/brewery/1792,"United States",Denver,CO,,,,110438355,47381,1792,,3.42,3.42,,0,0
"Red Rocks Red Ale","Rock Bottom Restaurant & Brewery","Red Ale - American Amber / Red",5.2,38,,"Rock Bottom - Boston",Boston,MA,"United States",42.3513,-71.0653,3.5,"2014-08-27 20:54:05",https://untappd.com/c/110451250,https://untappd.com/beer/56192,https://untappd.com/brewery/1792,"United States",Denver,CO,,,,110451250,56192,1792,,3.38,3.38,,0,0
"BBQ Brown Ale","Rock Bottom Restaurant & Brewery","Brown Ale - American",4.2,0,,,,,,,,3,"2014-08-27 20:56:30",https://untappd.com/c/110451890,https://untappd.com/beer/715573,https://untappd.com/brewery/1792,"United States",Denver,CO,,,,110451890,715573,1792,,3.29,3.56,,0,0
"Summer Blonde Honey Ale","Rock Bottom Restaurant & Brewery","Blonde Ale",6,24,,,,,,,,3.5,"2014-08-27 20:57:08",https://untappd.com/c/110452056,https://untappd.com/beer/60840,https://untappd.com/brewery/1792,"United States",Denver,CO,,,,110452056,60840,1792,,3.49,3.49,,0,0
"Pale Ale","Sierra Nevada Brewing Co.","Pale Ale - American",5.6,38,,"Emmet's Irish Pub",Boston,MA,"United States",42.3582,-71.0614,,"2014-08-28 21:09:50",https://untappd.com/c/110654782,https://untappd.com/beer/6284,https://untappd.com/brewery/1142,"United States",Chico,CA,,,,110654782,6284,1142,,3.63,3.63,,0,0
"Brooklyn Oktoberfest","Brooklyn Brewery",Märzen,5.5,25,,"Emmet's Irish Pub",Boston,MA,"United States",42.3582,-71.0614,4,"2014-08-28 21:45:42",https://untappd.com/c/110670355,https://untappd.com/beer/6154,https://untappd.com/brewery/259,"United States",Brooklyn,NY,,,,110670355,6154,259,,3.49,3.49,,0,0
IPA,"Lagunitas Brewing Company","IPA - American",6.2,52,,,,,,,,5,"2014-08-28 22:30:16",https://untappd.com/c/110686872,https://untappd.com/beer/4509,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,,110686872,4509,765,,3.72,3.72,,0,0
"Belgian White","Blue Moon Brewing Company","Wheat Beer - Witbier",5.4,9,,"The Tam",Boston,MA,"United States",42.3515,-71.0647,4,"2014-08-29 21:44:36",https://untappd.com/c/110935687,https://untappd.com/beer/3839,https://untappd.com/brewery/127804,"United States",Denver,CO,,,,110935687,3839,127804,,3.5,3.5,,0,0
"Harpoon IPA","Harpoon Brewery","IPA - American",6,42,,"Side Bar Food & Spirits",Boston,MA,"United States",42.3566,-71.0598,3,"2014-08-29 22:11:46",https://untappd.com/c/110952287,https://untappd.com/beer/5928,https://untappd.com/brewery/634,"United States",Boston,MA,,,,110952287,5928,634,,3.5,3.5,,0,0
"Hop Nosh IPA","Uinta Brewing Company","IPA - American",7.3,82,,"Barracuda Tavern",Boston,MA,"United States",42.3571,-71.0606,3.5,"2014-08-31 21:35:21",https://untappd.com/c/111707197,https://untappd.com/beer/555987,https://untappd.com/brewery/1304,"United States","Salt Lake City",UT,,,,111707197,555987,1304,https://untappd.s3.amazonaws.com/photo/2014_09_01/2ab4291580874a558c184cea7c46a281_raw.jpg,3.73,3.73,,0,0
"60 Minute IPA","Dogfish Head Craft Brewery","IPA - American",6,60,,,,,,,,,"2014-08-31 23:00:30",https://untappd.com/c/111742543,https://untappd.com/beer/3952,https://untappd.com/brewery/459,"United States",Milton,DE,,,,111742543,3952,459,,3.85,3.85,,0,0
IPA,"Lagunitas Brewing Company","IPA - American",6.2,52,,"Punter's Pub",Boston,MA,"United States",42.3387,-71.0928,5,"2014-09-02 18:53:47",https://untappd.com/c/112059600,https://untappd.com/beer/4509,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,,112059600,4509,765,,3.72,3.72,,0,0
"Honkers Ale","Goose Island Beer Co.","English Bitter",4.3,30,,"Paddy O's",Boston,MA,"United States",42.3611,-71.0568,4,"2014-09-04 20:42:06",https://untappd.com/c/112405540,https://untappd.com/beer/6469,https://untappd.com/brewery/2898,"United States",Chicago,IL,,,,112405540,6469,2898,,3.41,3.41,,0,0
